incident_id,project_id,incident_date,incident_type,severity,injuries_reported,fatalities,property_damage_million_usd,cause,reported_by,reported_date,resolution_date,emergency_repair_cost_million,insurance_claim_filed,regulatory_notified,description
237,339,10-02-2024,Sinkhhole,Medium,2,0,1.517,Natural disaster,Local Authority,11/03/2023,2024-11-06,2.173,0,OSHA,Sinkhhole occurred during routine operations.
238,340,22/02/2022,Sinkhole ,Medium,n/a,0,1.522,Equipment failure,Contractor,2023-05-22,,1.17,0,State DOT,Emergency crews responded to flooding on site.
239,340,2018-12-21,Water Main Break,Low,3,0,1.513,Utility conflict,Site Supervisor,02-16-2020,2021-02-07,0.938,,Y,Incident under investigation. Preliminary cause: utility conflict.
240,340,03/07/2023,Fire,High,10,0,4.707,Human error,Inspector,07/01/2023,2020-11-30,4.314,N,OSHA,
241,340,2024-06-23,Structural Failure,medium ,6,0,15.454,Natural disaster,Emergency Services,10/13/2022,10-08-2021,23.347,0,Yes,Incident under investigation. Preliminary cause: natural disaster.
242,342,25/04/2020,Traffic Accident,Low,,0,TBD,Age/deterioration,Emergency Services,2024-10-11,2021/02/10,0.905,,State DOT,
243,343,22/10/2024,Collapse,Medium,2,0,0.789,Contractor error,Public Report,20/02/2025,10/05/2019,1.6,Y,State DOT,
244,343,24/03/2021,Fire,High,6,0,12.347,Utility conflict,State DOT,2024-01-23,2018/08/30,20.083,Y,OSHA,Emergency crews responded to fire on site.
245,343,28/02/2023,Collapse,Low,2,0,1.069,Deferred maintenance,State DOT,08-23-2024,2020-09-11,1.821,Pending,N,Low severity event. Site temporarily shut down.
246,348,2024/11/02,Fire,Medium,,0,1.402,Extreme weather,Engineer of Record,18/04/2025,10/23/2025,1.415,1,No,Emergency crews responded to fire on site.
247,348,2019-01-27,Flooding,High,7,0,1.069,Deferred maintenance,Contractor,09-29-2024,03-10-2024,,Yes,EPA,
248,348,01-29-2020,Sinkhhole,Medium,0,0,2.056,Equipment failure,Contractor,07/27/2020,,2.239,Yes,N/A,Sinkhhole occurred during routine operations.
249,348,,Water Main Break,Medium,0,0,0.516,Equipment failure,Anonymous Tip,2025-06-04,11/05/2023,0.94,0,Yes,Incident under investigation. Preliminary cause: equipment failure.
250,353,19/09/2022,Sinkhhole,Medium,0,,1.878,Utility conflict,Local Authority,09/29/2023,01-16-2025,3.113,0,No,
251,353,09/05/2019,,CRITICAL,,0,2.205,Material defect,Site Supervisor,30/03/2024,,2.37,N,EPA,
252,355,11/03/2022,Flooding,Critical,10,0,23.929,Contractor error,Emergency Services,2023/08/08,2024/04/13,9.596,1,,
253,355,2020-05-03,Fire,High,n/a,0,5.765,Extreme weather,Site Supervisor,2019-05-19,05-24-2019,11.291,pending,Yes,High severity event. Site temporarily shut down.
254,356,06-07-2024,Water Main Break,High,6,0,21.865,Design flaw,Contractor,2018/01/05,18/12/2022,39.299,No,Y,High severity event. Site temporarily shut down.
255,359,2019-06-27,Sinkhhole,Low,1,0,0.956,Natural disaster,Inspector,06/04/2021,12/10/2019,1.682,N,,
256,359,12/28/2021,Flooding,Low,2,0,1.239,Unknown,Anonymous Tip,12/19/2022,01-25-2025,0.982,0,Yes,
257,359,2024/03/02,Environmental Spill,medium ,3,0,1.181,Equipment failure,Contractor,04-14-2019,11/10/2019,,pending,N/A,
258,361,09-28-2023,Structural Failure,Low,0,0,1.025,Material defect,Local Authority,14/11/2021,11-24-2023,0.579,No,OSHA,Incident under investigation. Preliminary cause: material defect.
259,361,04-14-2018,Equipment Malfunction,Medium,n/a,0,1.026,Soil instability,Contractor,08-22-2022,2019-04-12,1.417,1,Y,Incident under investigation. Preliminary cause: soil instability.
260,361,06/06/2021,Flooding,Critical,11,0,13.491,Under investigation,Site Supervisor,03/08/2024,,22.86,pending,N,
261,361,2021-11-20,Sinkhhole,CRITICAL,3,0,1.039,Unknown,Site Supervisor,02/09/2023,2022/01/06,0.967,No,,Medium severity event. Site temporarily shut down.
262,362,06/26/2019,Sinkhole ,Low,n/a,0,,Human error,Inspector,2024-02-29,2025/01/28,3.285,,Y,Incident under investigation. Preliminary cause: human error.
263,366,07/13/2018,Traffic Accident,Low,1,0,1.827,Soil instability,State DOT,10/03/2020,21/04/2025,3.693,N,Y,Incident under investigation. Preliminary cause: soil instability.
264,371,2024/10/13,,Low,3,0,0.974,Natural disaster,Anonymous Tip,11/21/2021,,0.649,,State DOT,Incident under investigation. Preliminary cause: natural disaster.
265,376,23/05/2025,Fire,Medium,0,0,0.537,Natural disaster,Anonymous Tip,12/15/2021,,0.204,Yes,N/A,Emergency crews responded to fire on site.
266,376,02-20-2023,Power Outage,medium ,2,,1.815,Deferred maintenance,Public Report,09/12/2020,04-27-2019,3.278,1,State DOT,Medium severity event. Site temporarily shut down.
267,376,2019-04-29,Structural Failure,Medium,0,0,2.298,Unknown,Contractor,11-04-2023,05-08-2025,,Pending,EPA,
268,377,2025-05-12,Sinkhole ,Low,2,0,1.306,Material defect,Site Supervisor,10/13/2018,28/06/2019,1.316,pending,EPA,
269,377,09/16/2020,,Low,,0,1.793,Under investigation,Public Report,06/03/2021,2024-09-26,,0,EPA,Low severity event. Site temporarily shut down.
270,377,07-12-2018,Sinkhole ,Low,0,0,TBD,Human error,Inspector,2024/02/15,08-26-2023,1.588,pending,,Incident under investigation. Preliminary cause: human error.
271,384,2019-10-04,Sinkhole ,Medium,2,0,1.821,Human error,Engineer of Record,07/05/2022,19/02/2024,2.016,N,OSHA,Medium severity event. Site temporarily shut down.
272,384,16/10/2019,Traffic Accident,Low,1,0,,Human error,Anonymous Tip,02/09/2021,10-28-2019,4.996,N,OSHA,
273,384,11-19-2022,Power Outage,Low,1,0,0.279,Extreme weather,Anonymous Tip,04/05/2018,27/01/2021,0.215,Y,Yes,
274,387,,Collapse,Low,2,0,,Human error,Contractor,04/08/2024,10/05/2022,-,Y,Yes,Low severity event. Site temporarily shut down.
275,387,,Flooding,Low,3,0,0.474,Equipment failure,Public Report,07-29-2024,,0.701,0,N/A,
276,387,24/05/2025,Traffic Accident,Low,1,0,0.713,Vandalism,Emergency Services,2020/11/24,09-06-2024,0.475,N,N,Traffic Accident occurred during routine operations.
277,387,01/08/2024,Traffic Accident,,4,0,22.942,Extreme weather,Anonymous Tip,10/04/2022,11/06/2020,28.255,Yes,Y,Emergency crews responded to traffic accident on site.
278,391,,Gas Leak,Low,3,0,1.664,Human error,Engineer of Record,,2021/03/06,2.218,N,N,
279,391,04/12/2024,Gas Leak,High,10,0,14.412,Under investigation,Anonymous Tip,03/26/2021,25/01/2025,18.01,,EPA,
280,398,05/08/2019,Power Outage,Low,1,0,0.412,Soil instability,Public Report,2024-01-05,,0.827,N,N,Incident under investigation. Preliminary cause: soil instability.
281,400,05-14-2021,Collapse,Low,3,0,0.103,Extreme weather,Site Supervisor,2021/07/29,2022/07/06,0.064,N,State DOT,Incident under investigation. Preliminary cause: extreme weather.
282,401,12-03-2021,Flooding,Low,0,0,1.593,Age/deterioration,Public Report,2021-06-23,2023-11-17,1.835,,N/A,Incident under investigation. Preliminary cause: age/deterioration.
283,401,16/05/2023,Sinkhole ,medium ,2,0,1.085,Contractor error,State DOT,2021/09/28,07-12-2018,0.445,No,N/A,Emergency crews responded to fire on site.
284,402,2018/04/30,Environmental Spill,Critical,6,0,16.358,Deferred maintenance,Local Authority,13/02/2020,08-02-2025,22.151,Pending,State DOT,Emergency crews responded to environmental spill on site.
285,402,07/28/2023,Traffic Accident,High,6,0,4.045,Soil instability,Anonymous Tip,2023-04-09,,6.717,N,N/A,
286,402,07/04/2019,Equipment Malfunction,Low,1,0,0.941,Human error,Emergency Services,2023/03/02,05/21/2019,1.028,1,No,Low severity event. Site temporarily shut down.
287,402,2021/10/18,Flooding,Low,2,,0.685,Equipment failure,Site Supervisor,11-10-2020,2020/05/04,,N,No,
288,403,08/02/2020,Power Outage,Medium,2,0,0.643,Design flaw,Local Authority,2021/02/03,09/07/2018,1.337,Y,OSHA,
289,408,2019-03-04,Environmental Spill,Medium,1,0,1.65,Extreme weather,Local Authority,2024-04-02,22/04/2019,2.283,1,Y,Environmental Spill occurred during routine operations.
290,408,2024-10-30,WATER MAIN BREAK,High,5,0,7.053,Utility conflict,Local Authority,21/12/2022,22/06/2018,10.781,,No,
291,408,29/01/2018,Collapse,Low,2,0,0.939,Under investigation,State DOT,2019-10-12,,0.318,N,Y,Incident under investigation. Preliminary cause: under investigation.
292,408,20/08/2023,Worker Injury,medium ,1,0,0.487,Deferred maintenance,Anonymous Tip,2018/06/01,,0.992,Y,Y,Incident under investigation. Preliminary cause: deferred maintenance.
293,413,2022/02/24,,Medium,1,0,1.104,Unknown,Site Supervisor,10/10/2024,,2.244,,State DOT,Traffic Accident occurred during routine operations.
294,415,07-27-2022,Fire,,5,0,5.415,Natural disaster,Contractor,2023/03/03,,6.762,Yes,N/A,Fire occurred during routine operations.
295,419,2021-05-20,Flooding,Low,2,0,0.138,Contractor error,Engineer of Record,03-31-2023,28/09/2024,n/a,0,EPA,Emergency crews responded to flooding on site.
296,419,06/11/2018,Gas Leak,Medium,2,,1.812,Unknown,State DOT,02-09-2025,13/01/2022,1.923,N,N/A,Medium severity event. Site temporarily shut down.
297,419,21/10/2024,Collapse,CRITICAL,,0,1.782,Vandalism,Engineer of Record,2018-03-30,2023/12/31,1.072,pending,EPA,
298,427,11-14-2018,Sinkhole ,High,9,0,6.248,Deferred maintenance,Site Supervisor,2019-12-09,03/03/2019,11.893,No,,High severity event. Site temporarily shut down.
299,428,07-15-2018,Structural Failure,Medium,1,0,1.661,Extreme weather,Local Authority,2021-11-03,2023/10/20,,,State DOT,
300,429,09/14/2019,Environmental Spill,Low,1,,2.284,Equipment failure,Public Report,2025/01/24,08/03/2025,1.321,N,EPA,Low severity event. Site temporarily shut down.
301,429,02/02/2018,Worker Injury,High,5,0,16.579,Natural disaster,Engineer of Record,06-04-2022,,25.858,0,,Incident under investigation. Preliminary cause: natural disaster.
302,429,21/11/2018,Fire,Medium,,0,2.168,Utility conflict,Engineer of Record,01-15-2019,2025-03-21,1.337,Y,OSHA,
303,431,29/04/2019,Fire,High,5,0,14.353,Contractor error,Site Supervisor,2025/03/31,2018/12/22,,N,State DOT,
304,431,,Worker Injury,Low,0,0,0.008,Deferred maintenance,Inspector,01-20-2022,2025/10/10,,0,OSHA,Incident under investigation. Preliminary cause: deferred maintenance.
305,432,2022-01-12,Power Outage,Low,2,0,,Contractor error,Inspector,2025/03/08,03/28/2019,,No,No,Emergency crews responded to power outage on site.
306,432,04/02/2018,WATER MAIN BREAK,Low,,0,,Design flaw,Site Supervisor,04/29/2020,2018/12/14,,pending,N,Incident under investigation. Preliminary cause: design flaw.
307,432,28/04/2022,Collapse,Medium,0,0,2.059,Under investigation,Engineer of Record,2025-05-26,07/15/2024,3.798,No,Yes,Medium severity event. Site temporarily shut down.
308,432,2019/01/06,Fire,CRITICAL,0,0,1.941,Contractor error,Contractor,05-28-2018,12-02-2018,n/a,pending,N,Low severity event. Site temporarily shut down.
309,437,2023/07/18,Fire,Medium,,0,1.269,Contractor error,Inspector,11/03/2019,19/03/2024,2.173,Y,N,Fire occurred during routine operations.
310,437,2018-10-09,Traffic Accident,Medium,3,0,1.607,Material defect,Emergency Services,2018-04-18,,2.867,pending,Y,Emergency crews responded to traffic accident on site.
311,437,03-16-2018,Water Main Break,Low,0,0,2.175,Utility conflict,Public Report,03-21-2022,16/09/2020,4.268,Pending,N/A,Emergency crews responded to water main break on site.
312,440,10/22/2020,Environmental Spill,Low,1,0,1.961,Equipment failure,Local Authority,05-28-2025,08-02-2023,TBD,Y,State DOT,Low severity event. Site temporarily shut down.
313,440,2022-06-21,Gas Leak,Medium,3,,1.744,Equipment failure,Site Supervisor,2024-02-23,2024-04-30,,N,N,Incident under investigation. Preliminary cause: equipment failure.
314,440,2018/08/23,Sinkhole ,Medium,3,0,0.954,Human error,Site Supervisor,2023/12/12,2021/10/13,1.382,N,N,Water Main Break occurred during routine operations.
315,440,2019-07-02,Gas Leak,Medium,2,0,?,Vandalism,Anonymous Tip,03/21/2023,2024/09/19,1.267,0,Yes,Incident under investigation. Preliminary cause: vandalism.
316,447,10/20/2018,Equipment Malfunction,Medium,2,0,1.497,Deferred maintenance,Inspector,,2020/11/03,2.722,No,N,Emergency crews responded to equipment malfunction on site.
317,447,2020/04/11,Power Outage,,1,0,12.866,Material defect,State DOT,,2019/08/07,,1,EPA,Incident under investigation. Preliminary cause: material defect.
318,447,01/04/2021,Sinkhhole,Medium,2,0,,Soil instability,Anonymous Tip,04/14/2019,13/03/2020,0.53,Pending,State DOT,Emergency crews responded to sinkhhole on site.
319,447,2022-05-31,Fire,,1,0,1.378,Human error,Inspector,2024/08/24,08/03/2019,2.456,pending,Y,
320,449,01/18/2024,Sinkhole ,Low,1,0,n/a,Human error,Local Authority,07-31-2021,2020-05-17,0.111,Yes,Y,Emergency crews responded to power outage on site.
321,449,05/14/2021,,High,7,0,5.141,Extreme weather,Inspector,31/10/2024,,9.433,N,State DOT,
322,449,,Equipment Malfunction,low,0,0,1.065,Vandalism,Inspector,23/05/2021,12-25-2023,0.36,Y,State DOT,Equipment Malfunction occurred during routine operations.
323,450,2021-10-30,Equipment Malfunction,medium ,7,0,2.652,Human error,Emergency Services,01/28/2023,,4.237,pending,,Incident under investigation. Preliminary cause: human error.
324,450,17/08/2020,structural failure,Low,3,0,0.958,Equipment failure,Inspector,2021/01/30,02/14/2025,1.124,N,OSHA,Low severity event. Site temporarily shut down.
325,450,2018-10-26,Flooding,,3,0,1.034,Equipment failure,Anonymous Tip,2019-06-28,,1.163,pending,No,Flooding occurred during routine operations.
326,450,03-05-2023,Equipment Malfunction,CRITICAL,3,0,1.589,Natural disaster,Contractor,03/18/2025,26/12/2021,1.032,Y,No,
327,454,2022-11-03,structural failure,Low,1,0,2.38,Equipment failure,Public Report,2019/11/06,,1.095,0,Yes,Low severity event. Site temporarily shut down.
328,456,04/18/2019,Worker Injury,Low,3,0,0.584,Material defect,Local Authority,05-25-2020,,1.098,N,OSHA,Low severity event. Site temporarily shut down.
329,456,02-19-2021,Structural Failure,Medium,2,0,0.333,Equipment failure,Emergency Services,2019/10/10,,0.149,Pending,State DOT,Emergency crews responded to structural failure on site.
330,456,07-02-2023,Sinkhhole,Medium,2,?,1.493,Vandalism,Emergency Services,11/10/2024,08-23-2024,3.001,0,OSHA,Incident under investigation. Preliminary cause: vandalism.
331,456,2023/04/26,Water Main Break,Critical,1,0,21.877,Deferred maintenance,Engineer of Record,2024/12/10,2020/04/12,21.856,N,,
332,458,01/04/2018,Traffic Accident,Low,1,0,N/A,Material defect,Local Authority,2020-04-05,27/01/2021,-,Yes,Yes,
333,458,02-22-2023,Fire,Low,2,0,1.375,Design flaw,Contractor,09/07/2022,08-15-2023,,Y,OSHA,Incident under investigation. Preliminary cause: design flaw.
334,458,2022/12/08,Equipment Malfunction,Medium,3,0,2.024,Under investigation,Engineer of Record,,24/04/2024,?,pending,N/A,
335,458,2024/03/01,Structural Failure,Low,3,0,1.677,Human error,Emergency Services,09-24-2021,2020/08/10,2.909,1,OSHA,Incident under investigation. Preliminary cause: human error.
336,468,2024-02-05,Equipment Malfunction,HIGH,,0,,Deferred maintenance,Site Supervisor,2023-09-17,,0.201,1,State DOT,
337,468,2018-01-08,Collapse,low,3,0,2.399,Equipment failure,Inspector,,19/09/2018,3.192,pending,EPA,Collapse occurred during routine operations.
338,468,2025-04-21,Fire,,3,0,2.158,Human error,Inspector,07/14/2024,06-07-2023,3.624,No,,Emergency crews responded to fire on site.
339,472,10/22/2018,Worker Injury,Medium,0,0,2.396,Unknown,Inspector,07-05-2022,12/05/2023,3.074,0,Y,Incident under investigation. Preliminary cause: unknown.
340,472,09-22-2020,Gas Leak,Low,,0,1.871,Soil instability,Emergency Services,04-15-2019,2020/03/31,2.681,No,Y,Incident under investigation. Preliminary cause: soil instability.
341,472,,Equipment Malfunction,Medium,0,0,2.234,Design flaw,Inspector,2021-08-18,,2.898,No,EPA,Emergency crews responded to equipment malfunction on site.
342,472,2024/10/06,Structural Failure,Medium,1,0,1.529,Under investigation,Contractor,,2018/04/15,0.824,Y,Y,
343,480,04/22/2025,Fire,Low,3,TBD,1.566,Vandalism,Anonymous Tip,12/12/2020,2023/09/28,0.942,N,OSHA,
344,482,12/01/2025,Sinkhole ,Medium,,0,1.142,Equipment failure,Local Authority,,02/11/2020,2.176,Pending,No,Incident under investigation. Preliminary cause: equipment failure.
345,482,13/02/2021,Collapse,Low,0,0,2.211,Vandalism,Engineer of Record,24/12/2019,06-30-2019,1.893,N,Yes,
346,482,2024-04-02,Power Outage,Low,3,0,0.628,Utility conflict,Emergency Services,,09/09/2020,0.345,Pending,Y,
347,482,2019-04-13,Worker Injury,Medium,2,0,0.048,Unknown,Emergency Services,2021-03-18,05-22-2024,0.096,,EPA,Worker Injury occurred during routine operations.
348,486,2024-08-28,Equipment Malfunction,,2,0,1.262,Human error,State DOT,2020-11-14,2022-08-09,2.264,N,N/A,Medium severity event. Site temporarily shut down.
349,493,11/12/2022,Flooding,CRITICAL,11,0,6.413,Soil instability,Public Report,09-17-2022,03/03/2020,8.787,N,State DOT,Flooding occurred during routine operations.
350,493,06-05-2020,WATER MAIN BREAK,Critical,1,0,7.316,Vandalism,Contractor,05/29/2024,2023-11-19,13.869,N,State DOT,Traffic Accident occurred during routine operations.
351,493,2021-05-25,Sinkhhole,Medium,0,0,0.101,Age/deterioration,Contractor,16/02/2024,,0.108,0,EPA,Incident under investigation. Preliminary cause: age/deterioration.
352,493,,,Medium,1,0,1.869,Natural disaster,Contractor,31/12/2020,06/21/2022,,N,N/A,Emergency crews responded to water main break on site.
353,497,07-27-2018,Collapse,High,12,0,,Under investigation,Site Supervisor,2021/06/16,,10.243,No,Y,
354,498,24/02/2024,Equipment Malfunction,Low,3,?,0.531,Extreme weather,Public Report,2019-06-24,2022/06/09,0.55,0,EPA,
355,498,2019/02/23,Structural Failure,Medium,,0,0.026,Design flaw,Local Authority,04/15/2023,,0.044,Y,Yes,
356,499,2020-08-16,WATER MAIN BREAK,Low,1,0,0.52,Material defect,Local Authority,2022/12/21,11-03-2023,,Pending,OSHA,Structural Failure occurred during routine operations.
