project_id,project_name,state_abbr,category_id,contractor_id,status,budget_million_usd,actual_cost_million_usd,cost_overrun_pct,planned_start_date,actual_start_date,planned_end_date,actual_end_date,federal_funding_pct,congressional_district,project_manager,created_at,last_updated
125,Downtown Sacramento Transit Hub,KS,12,18,Delayed,490.02,497.86,1.6,2018-03-13,2023-05-19,,,38.7,24,Robert Taylor,2021-12-28,05-08-2025
126,Florida Interstate 802 Reconstruction,FL,2,10,Active,2527.73,3144.5,24.4,03/30/2020,2020/01/27,,,21.8,10,Patricia Miller,04/02/2020,2023-12-14
127,Virginia Electric Grid Hardening,VA,14,12,delayed,1712.12,2278.83,33.1,11/07/2021,2019-05-22,24/03/2027,,-,9,Lisa Wilson,2020-12-14,14/08/2023
128,Downtown Seattle Transit Hub,KY,12,19,Active,836.56,878.39,5.0,2022-07-14,18/05/2019,08/11/2024,,70.3,TBD,Lisa Miller,04-16-2021,2025/04/06
129,Pittsburgh Water Main Upgrade,HI,2,25,On Hold,1957.56,,9.7,08/02/2023,07/02/2023,30/08/2027,,35.7,22,Thomas Anderson,06/02/2017,03/06/2022
130,New Orleans Wastewater Treatment Plant,AR,1,13,,2591.34,2917.85,12.6,2021/03/11,2021-08-05,2022-09-09,,,3,Robert Wilson,2018/12/16,10/04/2025
131,Austin Stormwater System,MO,1,23,Active,1639.57,2026.51,,24/06/2023,2019/02/14,2024-04-23,,40.2,33,William Wilson,08/12/2017,2023-09-06
132,Bridge 444 Structural Repairs,ME,14,10,Completed,1316.43,1523.11,15.7,2020-10-26,10-12-2023,01/31/2027,10-07-2025,65.8,12,James Anderson,02/11/2021,01-18-2023
133,Port of Baltimore Modernization,ME,3,9,Cancelled,806.45,N/A,7.3,,03-17-2023,2027-06-12,,53.6,28,Michael Johnson,2018-02-18,2022/11/23
134,New Orleans Wastewater Treatment Plant,WY,15,17,Planning,2519.45,,,07/07/2021,,09/10/2025,,69.9,,Michael Davis,2019/05/17,
135,Route 260 Bridge Replacement,AK,11,26,Completed,1299.27,1856.66,42.9,,15/05/2019,31/12/2027,04-30-2023,71.5,25,James Moore,2018/06/08,
136,Charlotte Emergency Communications,OR,10,24,Completed,3200.42,4067.73,27.1,01/23/2020,2022/12/22,07-12-2023,07/01/2022,44.0,41,David Wilson,2020-03-25,2022/06/18
137,Port of Atlanta Modernization,ME,10,21,TBD,1099.86,1513.41,37.6,07-23-2018,01/07/2022,12/06/2028,,45.7,17,Robert Williams,01/24/2019,
138,US-379 Resurfacing Project,IN,4,20,Completed,2718.57,2699.54,-0.7,2023-04-05,,17/08/2025,20/11/2025,43.9,14,Patricia Moore,12/21/2020,05-16-2024
139,Pittsburgh Airport Terminal Expansion,UT,3,3,Active,491.18,477.43,-2.8,2019-06-08,2023-08-07,02/24/2025,,64.9,28,David Miller,2020/06/09,25/06/2023
140,Georgia Broadband Expansion Phase 358,GA,14,,Planning,3646.39,,,01-10-2020,,21/11/2023,,65.0,-,David Thomas,30/12/2021,04-14-2025
141,Denver Airport Terminal Expansion,WV,11,1,Completed,1903.3,TBD,42.4,05/20/2024,14/06/2019,05-15-2024,2022/04/10,68.1,19,Jennifer Johnson,04/03/2021,2022/05/25
142,Nashville School District Renovation,WV,7,3,Active,2649.07,2638.47,-0.4,10-04-2023,2021/10/31,,,60.6,,William Brown,2019/10/12,12-15-2024
143,Bridge 117 Structural Repairs,IN,10,3,Completed,1944.36,2611.28,34.3,29/05/2022,2018-07-05,2022-12-08,02/05/2024,72.6,20,Jennifer Thomas,01-22-2021,2024/07/20
144,Alabama Electric Grid Hardening,AL,12,22,Active,,59.12,0.6,07/03/2018,02/10/2020,20/04/2022,,,42,Robert Davis,12/06/2019,2025/01/08
145,Route 410 Bridge Replacement,ND,9,10,On Hold,2482.57,3118.11,25.6,22/06/2023,08/07/2020,09-06-2022,,51.7,28,Karen Wilson,08/02/2020,05-11-2022
146,Miami Flood Control Project,NV,13,28,planning,362.46,431.69,19.1,12/11/2019,03/28/2020,10-03-2023,2025-05-25,49.5,51,Michael Taylor,2018/09/14,2023-04-26
147,Downtown Boston Transit Hub,CT,13,15,Completed,3285.17,4678.08,42.4,2024-04-22,21/06/2018,2027/09/09,08-04-2022,30.0,8,Sarah Wilson,2017/11/18,08/22/2023
148,Sacramento School District Renovation,NC,13,14,On Hold,TBD,4822.41,34.7,2022/01/21,02/05/2018,2026/12/18,,28.7,1,Patricia Anderson,2017/05/23,23/06/2022
149,Kansas City Emergency Communications,CT,11,7,TBD,?,4344.06,27.4,2020-03-19,05-20-2021,2022/12/12,,,22,Michael Brown,2019-12-02,01/12/2025
150,Detroit Emergency Communications,AK,10,19,Active,2801.24,,35.8,07-28-2019,27/03/2022,2027/10/30,,64.3,7,Jennifer Anderson,07/04/2020,30/01/2023
151,New Jersey Broadband Expansion Phase 729,NJ,3,17,Under review,4065.75,4907.36,20.7,,2019/04/29,05-20-2024,,47.3,3,Patricia Brown,2020-02-19,2024/01/27
152,Baltimore Airport Terminal Expansion,WI,10,15,Cancelled,3501.55,,,2019-06-28,2019-07-22,08-30-2027,,58.2,49,Lisa Taylor,2017-11-02,2023/10/29
153,Bridge 124 Structural Repairs,WA,13,16,Completed,,3196.91,43.1,2021-01-31,2020/04/22,10/01/2024,2025-12-16,70.3,38,Lisa Williams,07/11/2021,
154,Downtown Charlotte Transit Hub,NY,5,13,Active,1362.05,1550.01,13.8,2019/05/11,08/01/2018,04/09/2024,,34.4,39,Karen Davis,10-07-2019,11/07/2024
155,Kansas City Emergency Communications,TN,9,14,Planning,1951.81,,,2021/03/30,,11/17/2023,,20.0,31,David Thomas,29/05/2018,02-18-2024
156,Austin Airport Terminal Expansion,MN,4,15,Completed,,2582.19,-4.9,2023/05/06,01/18/2018,2022-02-09,10-09-2025,30.4,n/a,Patricia Taylor,04-11-2021,2024/03/15
157,Port of Detroit Modernization,NH,5,26,Delayed,155.02,185.4,19.6,2020/05/06,2018/01/30,03-14-2024,,79.1,41,Michael Williams,2021/11/17,2023-07-23
158,Route 443 Bridge Replacement,OK,11,22,Cancelled,1709.18,,,05/14/2019,10-24-2023,2027-03-27,,n/a,34,James Davis,04-07-2017,07-24-2023
159,Kansas City Water Main Upgrade,MS,13,8,N/A,1875.39,,,27/05/2019,,12/17/2022,,78.5,3,Michael Wilson,2021/12/28,05-14-2022
160,Maine Interstate 530 Reconstruction,ME,11,26,Active,808.83,809.64,0.1,2018/10/04,08/25/2024,2024/03/04,,?,9,William Anderson,2018/06/09,29/12/2023
161,Highway 350 Widening,SC,4,7,Active,TBD,2589.81,29.6,03-30-2023,18/09/2021,06/27/2028,,,,Karen Miller,2019/05/08,11-05-2023
162,I-999 Safety Improvements,CT,4,21,Planning,831.27,,,15/12/2019,,06/15/2024,,73.1,47,Robert Wilson,,02/09/2025
163,Washington Electric Grid Hardening,WA,4,18,Completed,4103.33,4398.77,,2018/07/09,2024/08/02,02-14-2024,2025/01/01,37.7,10,Jennifer Davis,2017/04/20,07/28/2023
164,US-406 Resurfacing Project,MA,15,7,Active,1785.38,2033.55,13.9,10/06/2019,2022-03-13,2024-11-08,,53.0,,Maria Miller,06/30/2019,2024-11-28
165,Highway 202 Widening,AL,1,18,Completed,1050.47,?,32.3,01/29/2021,02/20/2020,2028/10/10,2022/10/10,79.9,49,Patricia Anderson,06/19/2018,18/01/2022
166,Austin Emergency Communications,AZ,8,TBD,Active,3669.81,4047.8,10.3,09/02/2018,10/08/2023,,,40.4,27,Michael Moore,04/12/2021,2025/01/06
167,Austin Stormwater System,VA,1,27,,3827.69,4375.05,14.3,04/23/2020,08/12/2020,07/04/2025,,59.6,5,Lisa Johnson,01/25/2019,
168,Michigan Electric Grid Hardening,MI,8,3,Active,2390.98,2857.22,19.5,2023-03-11,06/17/2024,2022/06/10,,64.2,19,William Taylor,2018/12/12,09-02-2023
169,Bridge 420 Structural Repairs,PA,13,N/A,On Hold,1061.99,1277.57,20.3,09/03/2023,04-20-2018,10/27/2022,,58.3,44,Patricia Taylor,2019-02-20,12/05/2023
170,Highway 915 Widening,CT,6,6,Completed,908.29,1178.96,29.8,2023-11-12,02/26/2019,2026-05-19,2025-11-14,38.5,4,Karen Johnson,10/04/2017,2024-02-12
171,I-178 Safety Improvements,MA,4,4,Planning,2746.94,,,2018-02-19,,14/05/2026,,32.8,15,Maria Miller,08-24-2020,26/01/2024
172,US-524 Resurfacing Project,PA,6,1,Completed,976.57,?,24.4,02/24/2018,2020-08-10,28/03/2022,06-16-2025,65.5,8,David Davis,2021-02-20,05/27/2024
173,Port of Baltimore Modernization,RI,12,24,Active,1858.19,1770.86,-4.7,07-07-2023,10/14/2018,28/02/2024,,23.1,10,Sarah Brown,07/07/2017,22/12/2022
174,Atlanta School District Renovation,TX,13,13,on hold,?,1537.55,21.9,03-14-2024,12-21-2019,2024/11/19,,42.8,20,Lisa Miller,08/02/2019,02-25-2025
175,I-667 Safety Improvements,AR,12,16,Active,1781.26,,7.3,11/05/2023,2018-05-22,01/20/2026,,57.9,44,James Brown,20/06/2018,24/05/2025
176,Boston Water Main Upgrade,VT,15,30,Completed,3349.74,4545.6,35.7,2021/01/06,05/08/2020,06/19/2026,12/02/2025,38.5,11,Lisa Johnson,07/18/2017,
177,Atlanta Wastewater Treatment Plant,IL,7,,Planning,986.46,,,06-11-2023,,02-17-2023,,20.6,18,James Thomas,06-05-2021,2022-03-27
178,Utah Electric Grid Hardening,UT,14,23,,3649.89,3978.38,9.0,15/10/2020,2022/02/18,01-26-2027,20/06/2025,61.2,31,Thomas Moore,09/14/2020,2023/01/20
179,Bridge 131 Structural Repairs,NE,13,28,On Hold,366.23,500.27,36.6,02-26-2024,2023-03-28,2023/11/20,,73.8,8,Lisa Anderson,2018/05/09,
180,Minnesota Electric Grid Hardening,MN,7,30,Cancelled,3395.58,N/A,,04/07/2020,11-27-2020,04/19/2023,,37.5,8,Maria Wilson,02/25/2021,04-27-2025
181,US-616 Resurfacing Project,MA,8,22,Active,3137.78,4314.45,37.5,2018-05-21,08/04/2021,19/06/2025,,50.1,-,Maria Miller,03/10/2021,21/03/2025
182,Regional Rail Corridor 714,KY,2,17,Delayed,2944.81,3604.45,22.4,02/03/2019,21/06/2019,08/17/2025,,65.1,38,James Miller,07-27-2019,12/02/2022
183,Port of Denver Modernization,NH,12,13,Active,2052.48,,29.4,2019-12-08,03/18/2022,03/01/2023,,66.7,53,William Moore,18/07/2018,2024-06-30
184,Pittsburgh Emergency Communications,KY,9,27,N/A,3516.09,,N/A,01-17-2024,,2023-05-24,,,14,William Williams,2018/01/06,2025/05/11
185,Bridge 621 Structural Repairs,IA,12,11,Completed,881.72,881.72,-0.0,07/03/2018,2020-08-29,05-31-2022,01/21/2023,28.5,14,Robert Thomas,02/05/2020,19/03/2023
186,Port of Atlanta Modernization,LA,1,20,completed ,462.4,565.98,22.4,2018/09/28,2021/09/11,2022-12-31,,41.8,22,David Brown,2021/11/15,08/04/2023
187,Austin Wastewater Treatment Plant,NV,10,5,On Hold,653.49,661.99,1.3,04/01/2022,2024-05-13,31/12/2024,,23.2,,William Wilson,2020-12-19,2023-05-26
188,New Orleans Emergency Communications,IL,12,10,Cancelled,4041.12,,,2022/10/03,2023-09-15,07/13/2023,,48.8,33,William Anderson,2020/11/30,2022-09-13
189,Nashville Flood Control Project,OK,8,13,Active,3839.03,4126.96,7.5,,04-28-2019,2025-04-03,,38.0,,David Davis,01/05/2017,2025/03/10
190,Austin Stormwater System,MI,7,4,Completed,1050.94,1245.36,18.5,03/14/2022,10/05/2021,02-01-2026,27/05/2024,73.5,35,David Williams,18/06/2019,18/06/2024
191,North Carolina Interstate 160 Reconstruction,NC,2,4,Under review,57.82,74.7,29.2,08/02/2018,2021-11-02,2026/10/26,,78.6,48,James Moore,11/09/2019,
192,Austin School District Renovation,WA,15,5,Active,3630.34,4138.59,,,06/09/2021,08-05-2024,,33.3,28,Lisa Johnson,2019-11-11,2024/05/24
193,Nashville Airport Terminal Expansion,WY,14,5,Completed,3120.44,3881.83,24.4,03/03/2022,09/02/2020,,2023/03/07,55.1,6,Maria Brown,07-13-2020,17/05/2025
194,Atlanta School District Renovation,NH,12,4,Active,3911.63,4701.78,20.2,31/03/2018,11/15/2019,09/20/2028,,?,9,David Johnson,03-05-2020,05-05-2022
195,Downtown Seattle Transit Hub,SD,5,18,Planning,,,,2018/06/10,,2023/08/30,,76.5,,Robert Miller,11-24-2021,2022-04-16
196,Downtown Baltimore Transit Hub,KS,11,28,Completed,3654.17,4629.83,26.7,03-06-2024,,12/17/2026,2023/03/28,39.5,14,Karen Moore,15/11/2017,2024/07/02
197,North Carolina Interstate 387 Reconstruction,NC,12,25,delayed,462.59,442.7,-4.3,2018/06/29,2019/06/26,2024-10-14,,66.2,18,Robert Thomas,2017-01-28,20/01/2022
198,Regional Rail Corridor 944,MI,6,21,ACTIVE,1616.23,,,04-06-2019,2023-07-08,26/11/2023,,79.4,15,Maria Miller,,06/06/2022
199,Phoenix Airport Terminal Expansion,WY,11,5,Active,3346.87,4812.8,43.8,10/03/2018,2019/04/09,2028/06/24,,45.6,,David Brown,2017/07/05,10/24/2023
200,I-209 Safety Improvements,DE,2,8,Under Review,72.54,89.15,22.9,02/07/2019,2019-03-28,2022-09-02,,74.7,24,Robert Miller,2019-08-01,23/10/2022
201,Phoenix Stormwater System,MI,13,6,Under review,3984.84,4722.04,18.5,2021-10-13,12/24/2022,24/02/2022,,37.2,10,James Johnson,22/05/2020,22/12/2022
202,I-200 Safety Improvements,LA,3,2,,438.93,496.43,13.1,06/10/2021,,09-08-2024,,36.9,35,Maria Williams,03-10-2018,2025-05-07
203,Bridge 515 Structural Repairs,MN,7,29,Completed,631.21,785.23,24.4,04-15-2022,05/08/2023,07-29-2028,18/03/2022,,10,William Taylor,2017/06/11,07/11/2022
204,Downtown Austin Transit Hub,NE,11,16,on hold,1300.42,1799.78,38.4,24/12/2018,,21/01/2023,2024/07/20,38.8,19,Robert Williams,07-28-2018,26/03/2025
205,Route 759 Bridge Replacement,AR,8,9,Completed,2939.08,3615.07,23.0,26/09/2019,03-08-2019,2025/04/05,09/02/2024,29.5,26,Maria Davis,03/07/2019,2024-08-04
206,Route 809 Bridge Replacement,WV,13,13,Active,1988.58,1942.84,-2.3,04-04-2018,09-29-2022,10/01/2025,,35.1,12,Maria Brown,22/05/2017,2023/07/15
207,West Virginia Broadband Expansion Phase 681,WV,4,3,Under Review,3943.7,5209.63,,07/20/2021,2018/02/28,2023/09/09,,73.8,10,Lisa Wilson,,2024-04-12
208,Bridge 717 Structural Repairs,WI,15,10,On Hold,4196.0,4854.77,15.7,2021-12-11,2021-12-13,2028-01-31,,45.6,49,Jennifer Williams,27/12/2017,2024-07-28
209,Miami School District Renovation,MT,5,28,Completed,2316.89,2333.11,,2023-04-08,,12-07-2025,2024/08/08,44.8,53,William Moore,01/16/2017,07/02/2024
210,Washington Electric Grid Hardening,WA,10,21,Delayed,1802.52,2559.58,42.0,2022-05-19,2019/12/13,2026/07/10,,74.3,34,Robert Moore,19/04/2018,07-23-2022
211,Port of Memphis Modernization,VA,4,21,ACTIVE,1030.45,1380.8,34.0,2022-03-29,02/12/2020,2022-07-31,18/07/2023,25.0,10,William Johnson,2020-07-31,2025/04/01
212,Route 352 Bridge Replacement,NH,10,28,Under Review,2032.68,,25.7,02/17/2024,21/01/2018,2023-10-11,,51.3,17,Maria Davis,26/05/2020,03-02-2022
213,Baltimore Wastewater Treatment Plant,VA,4,22,Completed,3219.2,?,10.6,2020/04/23,2023-06-22,11-11-2026,07/02/2024,45.4,48,David Wilson,2020-06-29,
214,Miami Airport Terminal Expansion,DE,1,23,Completed,1350.9,1440.06,6.6,2018-09-29,29/04/2022,07/03/2025,05-17-2025,32.7,,Maria Anderson,,2025/05/29
215,Regional Rail Corridor 862,CA,15,15,Delayed,155.92,189.75,21.7,2023-12-01,2018/06/10,10/13/2025,,,5,Lisa Williams,27/08/2021,2024-04-30
216,I-6 Safety Improvements,WA,12,29,Delayed,3645.73,3937.39,8.0,2018-06-26,03/30/2019,16/07/2022,,76.8,5,David Wilson,2020-11-09,02/17/2024
217,Highway 77 Widening,MT,11,24,Delayed,253.59,242.69,-4.3,04/06/2020,2023/04/02,27/04/2026,,31.3,7,Jennifer Davis,07/26/2021,2025-04-24
218,Alaska Interstate 192 Reconstruction,AK,2,8,Active,2000.47,2430.57,21.5,12-12-2021,23/12/2020,2023-04-30,,75.6,6,Jennifer Moore,,2022-11-05
219,Port of Baltimore Modernization,KS,2,9,on hold,923.92,1258.38,36.2,03/01/2021,2023-07-22,22/04/2024,,30.3,,Jennifer Miller,2020-12-16,06/05/2025
220,Port of New Orleans Modernization,ID,1,16,Planning,73.53,,,2021/04/05,,2024/07/24,,51.5,11,Robert Williams,07/24/2017,09/16/2023
221,Port of Sacramento Modernization,SC,8,1,Active,375.41,529.33,41.0,2022-03-28,19/03/2019,01-26-2025,,72.6,44,Thomas Taylor,11-30-2021,12/15/2024
222,Memphis Water Main Upgrade,WI,8,10,On Hold,913.16,1244.64,36.3,2019-05-21,2018-08-06,06-24-2027,,38.3,28,Jennifer Johnson,04-13-2017,05/30/2023
223,Phoenix Airport Terminal Expansion,NE,7,22,Completed,1050.46,1216.43,15.8,28/03/2020,,03/06/2025,06/25/2022,37.8,41,Lisa Anderson,2018/01/11,02-09-2024
224,New York Electric Grid Hardening,NY,13,28,Completed,1944.06,2587.54,33.1,23/10/2023,03/01/2023,08-11-2022,2022-06-23,23.3,42,Maria Wilson,2020-05-02,07/19/2022
225,Arizona Interstate 455 Reconstruction,AZ,2,16,Active,3889.42,4278.36,10.0,06-05-2023,2020-01-24,20/08/2024,,70.5,35,David Thomas,10/27/2020,
226,Utah Electric Grid Hardening,UT,2,19,Active,2709.64,3785.37,39.7,12-26-2022,06/24/2018,12-23-2025,,77.8,30,Patricia Taylor,07/22/2018,2022/01/19
227,Phoenix Wastewater Treatment Plant,WY,11,17,Active,4011.84,4509.31,12.4,12/07/2022,2018-10-04,2022-07-04,,21.8,47,Robert Davis,,2022-08-06
228,Delaware Broadband Expansion Phase 205,DE,8,13,Active,2062.89,2659.07,,2020/07/12,04/04/2020,26/10/2023,,46.0,34,Sarah Williams,07/04/2020,2022/02/19
229,Bridge 104 Structural Repairs,IL,3,26,Active,968.79,1211.96,25.1,2021-09-17,04-03-2018,2024-07-06,,69.3,19,David Moore,12-11-2020,2024-01-03
230,Route 73 Bridge Replacement,TN,8,3,Delayed,2512.42,3155.6,,11/27/2018,08/03/2024,2027-05-16,,76.8,18,Patricia Johnson,08/02/2017,2022-03-14
231,I-352 Safety Improvements,HI,15,12,Active,243.75,259.84,6.6,11/02/2018,2020-07-19,2026-08-19,,64.8,52,Thomas Thomas,04/04/2017,01-31-2022
232,Regional Rail Corridor 540,AL,13,18,Delayed,1339.55,1635.59,22.1,04/03/2019,2018-08-10,2025-11-20,,74.0,46,Karen Taylor,27/07/2018,10/06/2022
233,Port of Miami Modernization,LA,8,2,Active,1810.84,1767.38,-2.4,03/06/2021,05-09-2018,2028/01/28,,65.8,2,Karen Wilson,08/24/2021,2023-06-22
234,Atlanta Wastewater Treatment Plant,MO,13,22,Completed,N/A,1536.13,23.6,2018-06-08,2021-01-28,2026/01/21,2023-07-05,59.6,51,William Thomas,01/26/2017,09/12/2022
235,Port of Boston Modernization,HI,11,2,delayed,2874.81,,,2022/12/09,,03/07/2028,,39.0,,Patricia Davis,05-05-2017,15/06/2023
236,Regional Rail Corridor 165,ME,6,16,Active,1222.02,1252.57,2.5,2018/04/15,2019/03/12,30/10/2028,,32.7,21,Thomas Anderson,2021/05/24,04-05-2025
237,Regional Rail Corridor 337,WA,14,19,Active,3224.22,3646.59,13.1,11/02/2023,07/13/2021,04-18-2023,,61.6,29,Patricia Moore,01/12/2019,13/06/2022
238,Portland School District Renovation,CA,3,4,Completed,3906.56,5160.57,32.1,2019-06-02,,03/11/2026,19/02/2022,61.4,5,Robert Anderson,2021/11/11,2024/12/20
239,Illinois Interstate 691 Reconstruction,IL,3,29,Completed,1593.68,1863.01,16.9,09/15/2023,08-05-2024,2025/02/18,07-18-2022,33.9,32,Jennifer Johnson,03-01-2020,11-26-2024
240,Port of Portland Modernization,WV,13,TBD,,2319.31,,,2023-09-15,,11-23-2023,,21.6,3,Thomas Anderson,06/25/2021,02-04-2023
241,Kansas City Wastewater Treatment Plant,NJ,9,11,Completed,,2786.21,-1.3,07/13/2021,06/07/2018,11-11-2026,2022-07-25,75.9,N/A,Thomas Wilson,2018/01/25,02/17/2025
242,Baltimore Wastewater Treatment Plant,FL,7,23,Completed,2678.58,3192.87,19.2,01-08-2020,05-14-2021,08/07/2024,22/08/2023,60.1,32,William Moore,,01/02/2024
243,Portland Airport Terminal Expansion,OR,1,18,Active,1644.09,1925.23,17.1,,03/12/2020,08-12-2022,,36.1,47,Sarah Wilson,07/27/2020,2022/04/04
244,Port of Memphis Modernization,KY,14,23,Cancelled,1570.61,1817.2,15.7,03-14-2024,2020-10-15,,,22.2,,Thomas Williams,2019/10/25,2024-03-25
245,Alaska Electric Grid Hardening,AK,10,26,Under review,1311.54,-,11.2,2023-09-30,2018/04/06,22/05/2025,16/07/2023,47.5,7,David Thomas,2019-08-24,02/11/2024
246,Port of Atlanta Modernization,AZ,14,16,Under review,3519.98,4266.22,21.2,09/05/2024,2020-08-10,30/08/2022,,66.0,17,Michael Miller,25/02/2021,2023-11-23
247,Seattle Stormwater System,FL,15,14,Completed,2046.47,2709.53,32.4,02-19-2024,09/09/2022,24/06/2026,,37.8,,David Miller,12-07-2019,10/23/2023
248,US-97 Resurfacing Project,DE,2,18,Planning,1968.78,,,2019-10-03,,10/01/2022,,41.0,36,Sarah Wilson,07-11-2020,2022/01/29
249,Miami Stormwater System,WV,5,26,Planning,974.07,,,05/06/2020,,01-10-2023,,75.8,40,Robert Brown,12-04-2017,31/08/2024
